wd_id,name,lat,lon
Q28404845,Finchley Memorial Hospital,51.6056,-0.1763
Q43895105,London Eye Hospital,51.517176,-0.145805
Q28404470,Highgate Private Hospital,51.5764,-0.15672
Q111231232,Savoy Hospital,51.510556,-0.120278
Q50517755,Kingston Hospital,51.414503,-0.282107
Q50036676,Fortius Clinic,51.516526,-0.153357
Q108830358,London Foot Hospital,51.52257,-0.13955
Q30265255,St Michaels Hospital,51.661764,-0.084355
Q28405723,"Bexley Hospital, Bexleyheath",51.4571,0.1312
Q7433944,Scio House Hospital,51.4472,-0.2322
Q16901558,The Princess Grace Hospital,51.5225,-0.153056
Q134698935,Weir Maternity Hospital,51.446519,-0.142437
Q60746347,Nightingale Hospital,51.5218,-0.1652
Q30292836,Ashtead Hospital,51.30451,-0.30331
Q6646489,"Lister Hospital, Chelsea",51.4863,-0.1502
