score,distance_km,osm_name,grid3_name,decision_id
0.6689,0.01,Durbunde Primary Health Centre,Durbinde Primary Health Center,xwd:sha256:aa530db7f96d56b7825ec521b69e66f7d8f1e17656514ff4286dd4c691b7478c
0.6681,10.11,Yola Primary Health Centre,Yola Primary Health Center,xwd:sha256:f1ec36ddd34a96dd6b89468ff4389d02117a06357086068f85da6b7f55d89e67
0.6676,0.17,Sabon Layin Kara Health Post,Sabin Layin Kara Model Primary Health Center,xwd:sha256:353144a2c1e2bdac74849157b36bebe9d83c5af96dab2107983b1df82b9501fd
0.6675,82.54,Karfi Primary Health Centre,Karfi Primary Health Center,xwd:sha256:e5eb417b7df25ca4f1e5962415897393b5d8fcd41c6175bfcb9c202a4ddbea8e
0.6669,0.05,DALAL CLINIC,Dalal (Ungo) Health Clinic,xwd:sha256:4757bb971e58d83c676c7f416b1761db84b43b6279d2ef9b118ce3c25506592c
0.6661,0.91,Rijiyar Lemo Primary Health Centre,Rijiyar Lemo Maternity and  Child Health Clinic,xwd:sha256:fd9870d7c31acc9a437446c2e864f7834fdf34d4fe46fa21d4ab2248c045ee08
0.6658,0.04,An Nur Specialist Hospital,Al Noury Hospital Specialist,xwd:sha256:480c5bbb1c22c5cea11f6de97be1a6934bfe958b027d747370f76f6214857fec
0.6644,69.75,Yalwa Primary Health Centre,Yalwa Primary Health Center,xwd:sha256:0878a6faa3285754a83543cec8eeadc4d9eeea46148a9754f5481744a556f386
0.6638,0.93,Rijiyar Lemo Maternal and Child Health,Rijiyar Lemo Model Primary Health Center,xwd:sha256:885c2e7eafb742bb8e4334816380a14e3f90f298368d8e270d4c5bcb9777a825
0.6637,0.00,Unguwar Turaki Health Post,Unguwarturaki Health Post,xwd:sha256:cd00b43642f0593642793ad67401296c0b9ac8c24b2871e76a7d5b0e27f05150
0.6631,19.69,Sabon Gari Doka Health Post,Sabon Doka Health Post,xwd:sha256:accc258bc8be6878316cc09ffa3c4b6c40400611272875db4efbae61d78b719a
0.6625,0.92,RIMIN KEBE MEDICINE STORE,Rimin Kebe Health Clinic,xwd:sha256:82609ad225d21d3544782031c17ec68103f688ccad52c1b1f00a168e6bf6eec1
0.6625,0.00,Yakasai Health Post,Yakasai (Dawakin Tofa) Health Clinic,xwd:sha256:4e5e14e6366febc5cc452a45188038e780a68fb420b0d729ecc8204af5c70b8c
