OBJECTID,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
36794,145de644-6bc5-4aa3-843a-9f65eeb016e8,,,Nigeria,NGA,Osun,Iwo,0,Molete 2,0,Aduke Okin Maternity and Nursing Centre,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.653555,4.206891667,GRID3_EHEALTH,2024-11-11,4.20689166700004,7.65355500000004
36795,9ffcf268-55b4-46b9-b330-9dea0575b97b,,,Nigeria,NGA,Osun,Ilesa West,0,Ereja 9,0,De Shalom Pharmacy,GRID3_EHEALTH,Private,Unknown,Primary,Unknown,7.636531667,4.743098333,GRID3_EHEALTH,2024-11-11,4.74309833300003,7.63653166700004
36796,4b80d180-ac4e-447a-8667-ffaf3f6866c0,,,Nigeria,NGA,Bayelsa,Sagbama,0,Ossiama,0,Umbugbene Community Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,4.8233,6.02376,GRID3_EHEALTH,2024-11-11,6.02376000000004,4.82330000000007
36797,95a6cdc2-4bd2-4d61-b522-e9f455f1f7f6,,,Nigeria,NGA,Osun,Iwo,0,Molete 3,0,Imole Oluwa and Wellcare Maternity Clinic,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,7.64423,4.19032,GRID3_EHEALTH,2024-11-11,4.19032000000004,7.64423000000005
36798,320f8e3d-1695-4040-b75a-3ec7eb8e97a4,,,Nigeria,NGA,Ebonyi,Ebonyi,0,Abakpa (Abakaliki),0,Grace Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Unknown,6.32436,8.11184,GRID3_EHEALTH,2024-11-11,8.11184000000003,6.32436000000007
36799,d31f6ec6-6a58-42af-b7d2-4cbf2edf3101,,,Nigeria,NGA,Sokoto,Tangaza,0,Kalanjeni,0,Kaura Tangaza Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,13.28824034,5.06116628038,GRID3_EHEALTH,2024-11-11,5.06116628000007,13.2882403400001
36800,64260738-41b4-49a5-99e1-1e5c65a9e392,,,Nigeria,NGA,Lagos,Mushin,0,Papa Ajao,0,Huse Of Peace Specialist Clinic,GRID3_EHEALTH,Public,Unknown,Tertiary,General Hospital,6.53142,3.34074,GRID3_EHEALTH,2024-11-11,3.34074000000004,6.53142000000003
36801,1e26e284-ce6e-4a4f-a92a-4311d27ecfd1,,,Nigeria,NGA,Lagos,Mushin,0,Kayode Fadeyi,0,Legus Specialist Hospital,GRID3_EHEALTH,Public,Unknown,Tertiary,General Hospital,6.53083,3.36579,GRID3_EHEALTH,2024-11-11,3.36579000000006,6.53083000000004
36802,92dee162-65ae-457a-b15a-ca543813dd82,,,Nigeria,NGA,Osun,Olorunda,0,Oba- Oke,0,Flohim Hospital,GRID3_EHEALTH,Public,Unknown,Primary,Unknown,7.84633,4.60455,GRID3_EHEALTH,2024-11-11,4.60455000000007,7.84633000000002
36803,18048864-756c-44f2-beb6-219a23a9c1fe,,,Nigeria,NGA,Osun,Ilesa West,0,Oke-Iyin 10,0,Paragon Specialist Hospital,GRID3_EHEALTH,Public,Unknown,Tertiary,General Hospital,7.61544,4.70803,GRID3_EHEALTH,2024-11-11,4.70803000000006,7.61544000000004
36804,e6743fb1-ccc6-41e4-872f-087d2d484230,,,Nigeria,NGA,Osun,Ayedaade,0,Gbongan Rural,0,Itamerin Health Post,GRID3_EHEALTH,Public,Unknown,Primary,Health Post,7.37021,4.338,GRID3_EHEALTH,2024-11-11,4.33800000000002,7.37021000000004
