osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation
way/791453133,Igbinobaro Medical center,CLINIC,67964731-f305-45b3-8ca9-578f40feb907,Igbinedion School Medical Center,CLINIC,Ikpoba-Okha,0.7051,review,0.8224,0.0854,3.691,True,name 82%; 3.7 km apart; type match
node/2161108211,Sumel Optomentry,,0f159374-1a65-4110-8689-c172759cb276,St Maternityhais Anglican Hospital,HOSPITAL,Oredo,0.7015,review,0.5297,0.7768,0.379,False,name 53%; 0.4 km apart
way/188794680,OSIMIKE HEALTH SERVICE,HOSPITAL,fa8e8bc5-6fc2-4de3-b8ec-1c26cc83f916,Concordia Medical Center,CLINIC,Egor,0.6995,review,0.4899,0.8678,0.213,False,name 49%; 0.2 km apart; type differs
node/2072621416,Osimike Health Service,HOSPITAL,fa8e8bc5-6fc2-4de3-b8ec-1c26cc83f916,Concordia Medical Center,CLINIC,Egor,0.6921,review,0.4899,0.853,0.239,False,name 49%; 0.2 km apart; type differs
node/2161078992,Society for Family Health,CLINIC,2c9dd00f-2606-4363-bdee-616047674da0,Memorial Hospital Ajayi Oriaito,HOSPITAL,Oredo,0.6822,review,0.5754,0.6293,0.695,False,name 58%; 0.7 km apart; type differs
node/2350899870,Julsam Pharmacy,PHARMACY,d34d3eec-fc5c-465f-93f3-2fb1cdbf65bf,Wilbon First Care Clinic,CLINIC,Oredo,0.6743,review,0.4837,0.833,0.274,False,name 48%; 0.3 km apart; type differs
node/2075846061,Coka Pharmarcy,PHARMACY,70ff773b-6593-4882-9bcb-92ca6c68b644,The Rock Hospital,HOSPITAL,Oredo,0.6738,review,0.5595,0.6509,0.644,False,name 56%; 0.6 km apart; type differs
node/2350815002,Ladith Pharmacy,PHARMACY,9fe66ef5-5fd4-4d0f-ac6d-9ca982f84407,Partland Clinic and Maternity,MATERNITY,Egor,0.6689,review,0.5655,0.6271,0.7,False,name 57%; 0.7 km apart; type differs
way/47161450,Benoni Hospital,HOSPITAL,a415679a-12fe-4ef3-84c9-92973f67e5c1,Nnpc Medical Center,CLINIC,Oredo,0.6645,review,0.4722,0.8414,0.259,False,name 47%; 0.3 km apart; type differs
node/2161097166,Spring Oak Pharmacy,PHARMACY,b56f271c-7aea-43cd-8c46-63cd90156c1f,Nigeria Airforce Hospital,HOSPITAL,Oredo,0.6373,review,0.5696,0.5579,0.875,False,name 57%; 0.9 km apart; type differs
way/791290838,Excellent Medical Centre,CLINIC,d16463a4-f103-4e62-97a8-3b8e638c2052,Aljumah Nursing and Maternity Home,MATERNITY,Egor,0.637,review,0.4425,0.8611,0.224,False,name 44%; 0.2 km apart; type differs
way/791453134,Hanora Clinic,CLINIC,54aee2d3-0ef4-42ab-bb33-75a88456f953,Itua Medical Center,CLINIC,Oredo,0.6321,review,0.4722,0.7811,0.371,True,name 47%; 0.4 km apart; type match
node/4987528630,EDMARK,PHARMACY,c472c069-62fa-4e67-a5f1-622c43f47631,Na Health Center,PHC,Oredo,0.628,review,0.5556,0.5746,0.831,False,name 56%; 0.8 km apart; type differs
node/4987528631,COKA Pharmarcy,PHARMACY,d5ccc3b0-f935-4111-bc5a-54004e38c992,Oko Primary Health Center,PHC,Oredo,0.5996,review,0.6032,0.41,1.337,False,name 60%; 1.3 km apart; type differs
node/2344332416,Pharmacy,PHARMACY,ff829fe4-16cf-455e-9240-97ac4e74e9d7,Christ Cottage Clinic and Maternity,MATERNITY,Egor,0.1138,no_match,0.0,0.8068,0.322,False,name 0%; 0.3 km apart; type differs
