id,name,amenity,healthcare,lga,lat,lon
way/291897525,Goran Maje Primary Health Centre,hospital,hospital,Dambatta,12.5339145,8.6872727
way/291897527,Dungurmi Health Post,hospital,hospital,Dambatta,12.4102711,8.6510365
way/291901211,Kore Primary Health Centre,hospital,hospital,Dambatta,12.3579056,8.7492069
way/291901212,Laraba Takuya Health Post,hospital,hospital,Dambatta,12.3673746,8.6869322
way/291901214,Dan Dake Health Post,hospital,hospital,Gabasawa,12.2179473,8.7212874
way/291901215,Katsarduwa Health Post,hospital,hospital,Dambatta,12.3325502,8.6654005
way/291901216,Yumbu Health Post,hospital,hospital,Gabasawa,12.2368758,8.7813754
way/291902257,Fagwalawa Cottage General Hospital,hospital,hospital,Dambatta,12.316513,8.6844835
way/291902258,Tona Health Post,hospital,hospital,Dambatta,12.3148135,8.7291587
way/291902259,Shana Health Post,hospital,hospital,Gabasawa,12.2622182,8.7415317
way/291902260,Saidawa Health Post,hospital,hospital,Dambatta,12.2743545,8.6310049
way/291902261,Dumma Health Post,hospital,hospital,Dambatta,12.379132,8.7714495
way/291902262,Koya Health Post,hospital,hospital,Dambatta,12.2641303,8.6199236
way/291910579,Doga Health Post,hospital,hospital,Gabasawa,12.2231252,8.8096507
way/291910580,Badawa Health Post,hospital,hospital,Gabasawa,12.2563749,8.8877373
way/291910581,Gambawa Health Post,hospital,hospital,Gabasawa,12.2449641,8.8262358
way/291910582,Yama Health Post,hospital,hospital,Gabasawa,12.2708664,8.8115789
way/291921247,Karmami Primary Health Centre,hospital,hospital,Gabasawa,12.1059446,8.822786
way/291921248,Zakirai Primary Health Centre,hospital,hospital,Gabasawa,12.1050509,8.8850226
way/291921249,Tarauni Health Post,hospital,hospital,Gabasawa,12.1134582,8.8970483
way/291921250,Dadin Duniya Health Post,hospital,hospital,Gabasawa,12.1649002,8.8888115
way/291921251,Kawo Health Post,hospital,hospital,Gabasawa,12.1622288,8.8544215
way/291921253,Santsi Health Post,hospital,hospital,Gabasawa,12.0495521,8.8785772
way/291921255,Chikawa Health Post,hospital,hospital,Gabasawa,12.1359272,8.8934156
way/291921256,Kumbo Health Post,hospital,hospital,Gabasawa,12.2042834,8.8843527
way/291921257,Tankarau Health Post,hospital,hospital,Gabasawa,12.083224,8.9070098
way/291921258,Gumawa Health Post,hospital,hospital,Gabasawa,12.1388966,8.8621888
way/291921260,Yar Zabaina Health Post,hospital,hospital,Gabasawa,12.1549509,8.7984309
way/291921263,Garun Danga Primary Health Centre,hospital,hospital,Gabasawa,12.2070643,8.8426497
way/291921264,Gabasawa Primary Health Centre,hospital,hospital,Gabasawa,12.1758505,8.9063595
way/291932099,Babawa Primary Health Centre,hospital,hospital,Gezawa,12.0580195,8.660229
way/291932102,Zango Health Post,hospital,hospital,Gezawa,12.0934201,8.6852524
way/291932104,Mesaburmi Health Post,hospital,hospital,Gezawa,12.1455534,8.7418159
way/291932106,Immuali Health Post,hospital,hospital,Gezawa,12.1161515,8.7306389
way/291932108,Gezawa Health Post,hospital,hospital,Gezawa,12.1006833,8.7509229
way/291932110,Yaranchi Health Post,hospital,hospital,Gabasawa,12.16606,8.7544189
way/291932112,Ketawa H.P Health Post,hospital,hospital,Gezawa,12.0683012,8.751025
way/291932114,Baita Health Post,hospital,hospital,Gezawa,12.132743,8.6495814
way/291932116,Gandurwawa Primary Health Centre,hospital,hospital,Minjibir,12.1552003,8.6166774
way/291932117,Wasai Health Post,hospital,hospital,Minjibir,12.1539026,8.6747656
way/291932119,Daradau Health Post,hospital,hospital,Gezawa,12.0527725,8.7012667
way/291932120,Mesatud Health Post,hospital,hospital,Gezawa,12.1234193,8.7217062
way/291932125,Kwadage Health Post,hospital,hospital,Gabasawa,12.1423895,8.7834682
way/291932130,Garji Health Post,hospital,hospital,Minjibir,12.1963843,8.6263376
way/291932134,Tsalle Health Post,hospital,hospital,Gezawa,12.0806454,8.7149841
way/291932136,Zaura Babba Primary Health Centre,hospital,hospital,Ungongo,12.0594672,8.6198441
