id,name,alternate_name,category,lga,ward_code,lon,lat
f0c94830-08d0-4eb1-856f-19e2480a8a7f,Oke Alafia Comprehensive Health Center,Comprehensive Health Center Ileolu,Comprehensive Health Center,Ile Oluji/Okeigbo,ODSIOU01,4.862487793000071,7.201293946000021
78ae4b9f-aa1d-4ab2-aee9-ce19f3564489,Ore General Hospital,,General Hospital,Odigbo,ODSODI10,4.878200000000049,6.75111000000004
84411431-e7c9-48f3-8551-ae66d05dc104,Litaye Health Center Litaye,,Primary Health Center,Ondo West,ODSOWT01,4.7655,7.05204
5a522bb1-20ec-4b31-b3c1-a5dc40c875ff,Federal Basic Health Center Orisadare Camp,,Primary Health Center,Akoko South East,ODSASE05,5.84319,7.4123
f3acc276-fd50-491c-b50c-00cb0dce4aa6,Adeyemi Memorial Hospital Annex,,Primary Health Center,Akoko North West,ODSANW02,5.8938159,7.6679588
94007656-6902-4702-860a-4f71ed7178c0,Kenneth Memorial Hospital Ajowa,,Primary Health Center,Akoko North West,ODSANW02,5.903981,7.6808691
1619b1f7-825f-426c-8b46-de508084dfc7,Okuopolo Basic Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU05,4.910095215000069,7.226684571000021
57a4fefd-eaa8-4dec-bf2d-004ca0bf62ab,Awo Primary Health Center,Basic Health Center Awo,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU10,4.759887696000021,7.2329101560000595
48c90ca9-12c7-464d-b310-51db1dfd2320,Mobaredele Health Post,,Dispensary,Idanre,ODSIDNE08,5.102722168000071,6.9818725580000205
e8418c88-4b21-4987-98a7-c3d0a71f54b5,Lahoro Health Post,,Dispensary,Ile Oluji/Okeigbo,ODSIOU01,4.863905063340639,7.17467618721883
ee9d9735-fdb8-4ee1-9ad9-eb2711e5cf45,One Ijebu Basic Health Center,,Primary Health Center,Ifedore,ODSIDE06,5.206196,7.279542
ad8b5624-2057-4428-aabe-3336b9a7e346,Ojaidioma Basic Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU03,4.87235,7.206504
9fcefd70-4593-4f00-a3a3-59256488cd02,Akinjagunla Basic Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU01,4.838199,7.110748
f4d47833-dc22-4740-be68-1986edbe803b,Owode Basic Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU06,4.805685,7.29117
e02cd006-1cd4-48a3-a647-e04448f59ba4,Opasorun Primary Health Center,,Primary Health Center,Idanre,ODSIDNE04,5.146214,7.087738
5c769ba3-fa61-45be-85b9-60d86de756e5,Adegbola Basic Health Center,,Primary Health Center,Ifedore,ODSIDE06,5.182912,7.262362
07fb67f0-89cc-4af5-aa4c-685fe24e4baf,Apefon Basic Health Center,,Primary Health Center,Idanre,ODSIDNE07,5.14167,7.078684
0a1f962e-d58f-4560-8d6f-255ee36fa6b9,Odo Eshi Basic Health Center,,Primary Health Center,Ifedore,ODSIDE04,5.166966,7.35849
27ab1046-bab8-40de-8cff-64b5a374e56d,Ipoke Basic Health Center,,Primary Health Center,Ese Odo,ODSESO05,4.863031,6.387991
cdd7913a-4b01-4805-a58d-4d45abc2f512,Ajagba Primary Health Center,,Primary Health Center,Ese Odo,ODSESO04,4.9212399338562705,6.42534986771254
a0b569d2-849b-4976-98db-8a3addeea1ec,Algon Basic Health Center Ogbagi,,Primary Health Center,Akoko North West,ODSANW08,5.709341667,7.56438
85485a6e-ac53-49d3-85c5-36a5ab5ea63d,Orisunbare 2 Basic Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU10,4.77338986,7.11294636
3f3d0c7f-48c1-4f64-a301-4090ab2cf974,Ayeka Basic Health Center,,Primary Health Center,Okitipupa,ODSPUP01,4.790652,6.491783
f34bdbb2-c0de-4e76-9c07-9e9d4816c7be,Ayemafuge Private Hospand Maternity,,Maternity Home,Ilaje,ODSIAE05,4.802920000000029,6.364200000000039
95e2fd59-896e-4a27-baa1-9f7b0f9dd590,Royal Medical Center,,Medical Center,Akure South,ODSAKS11,5.17339000000004,7.262660000000039
0e3608c9-b4ad-4080-971b-70b7d14799a3,Miracle Hospital,,Primary Health Center,Akure South,ODSAKS06,5.19315000000006,7.24096000000003
87afb8a8-55a9-4a9d-8761-e18ba6b28b5b,Faith Clinic,,Primary Health Center,Akure South,ODSAKS02,5.17873000000003,7.243950000000041
a46dd8e2-1e70-4b7a-a8d9-fd027eb999df,Odji Memorial Hospital,,Primary Health Center,Owo,ODSOWO09,5.569550000000049,7.207590000000039
2e6f7f3b-4193-4d5e-ac6e-f09b0b9e82a9,Abimbola Medical Center,,Medical Center,Akoko North East,ODSANE04,5.767910000000029,7.543910000000039
ad2b8909-e15c-4c79-94b7-b39094ab7982,Kenneth Medical Center,,Medical Center,Akoko North East,ODSANE06,5.760220000000061,7.527380000000051
ad4a9f95-bdb8-4292-86cc-d91b64ae27a9,Bolorunduro Clinic,,Primary Health Center,Akoko South West,ODSASW07,5.794510000000059,7.45586000000003
452987df-f8ff-44e2-8172-246eb7d44640,Joseph Clinic Supare,,Primary Health Center,Akoko South West,ODSASW15,5.6907300000000305,7.4508500000000595
fb932fd2-c59a-4480-ae48-4aeee39ff28b,Maria Maternityer Misericordiae Hospital,,Maternity Home,Ondo West,ODSOWT04,4.83215000000007,7.073610000000031
4d44ab02-0f58-47c2-986d-88d96646e38a,Prime Clinic Ondo,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU01,4.853970000000061,7.107400000000041
aa6f1f7e-4d6c-4d64-9632-f0ed73dbdd0d,Abitoye Hospital,,Primary Health Center,Ifedore,ODSIDE06,5.218700000000069,7.262670000000071
b9530ed8-7399-415a-b95a-26adc9edb5c9,Oyin Akoko Basic Health Center,,Primary Health Center,Akoko North West,ODSANW10,5.7580401569794,7.669522780356681
343ee0f3-898e-4ab4-ac3f-3d3b464b18d0,Owena Ijesa Primary Health Center,,Primary Health Center,Ifedore,ODSIDE10,5.00632,7.40298
fdc406c1-1373-4ca3-984c-6af13026585b,Afibiokin Health Center,,Primary Health Center,Ile Oluji/Okeigbo,ODSIOU06,4.8688014333814005,7.367642294192659
d5b30c3a-ed42-4536-b0be-23a8e5813cda,Laje Comprehensive Health Center,,Comprehensive Health Center,Ondo West,ODSOWT05,4.630081213452801,7.020376676911599
68f56ef5-fa73-413b-80d8-823e71d37cd2,Jubilee Health Center Ikare Akoko,,Primary Health Center,Akoko North East,ODSANE04,5.765740000000051,7.5344800000000305
b317f75b-604d-483d-854b-f4a1d4b4d912,Ogbagi Comprehensive Health Care,,Primary Health Center,Akoko North West,ODSANW08,5.700580000000059,7.579910000000041
